bandwidth,baseline_effective_ttft_p50,baseline_effective_ttft_p90,baseline_effective_ttft_p99,baseline_nth_token_overheads_p99,baseline_queue_times_p99,baseline_response_times_p50,baseline_response_times_p90,baseline_response_times_p99,baseline_summary,baseline_tbt_times_p50,baseline_tbt_times_p90,baseline_tbt_times_p99,baseline_ttft_times_p50,baseline_ttft_times_p90,baseline_ttft_times_p99,output,pd_effective_ttft_p50,pd_effective_ttft_p90,pd_effective_ttft_p99,pd_nth_token_overheads_p99,pd_over_baseline_effective_ttft_p50,pd_over_baseline_effective_ttft_p90,pd_over_baseline_effective_ttft_p99,pd_over_baseline_nth_token_overheads_p99,pd_over_baseline_queue_times_p99,pd_over_baseline_response_times_p50,pd_over_baseline_response_times_p90,pd_over_baseline_response_times_p99,pd_over_baseline_tbt_times_p50,pd_over_baseline_tbt_times_p90,pd_over_baseline_tbt_times_p99,pd_over_baseline_ttft_times_p50,pd_over_baseline_ttft_times_p90,pd_over_baseline_ttft_times_p99,pd_queue_times_p99,pd_response_times_p50,pd_response_times_p90,pd_response_times_p99,pd_summary,pd_tbt_times_p50,pd_tbt_times_p90,pd_tbt_times_p99,pd_ttft_times_p50,pd_ttft_times_p90,pd_ttft_times_p99,prompt,rate,status,trace
50.0,0.0970490789538116,0.11151559120046538,0.11403870568966651,0.0,0.04213469976171603,0.7723100637098792,0.8055483863132394,0.8115737384545875,results\0\baseline\param_p128_o16_r20_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04175789682049286,0.043591724107521775,0.04509511104600641,0.09704907895381165,0.11151559120046546,0.11403870568966655,16,0.0939500396360112,0.11214399857431484,0.13252237523934224,0.048444149829737666,0.9680672979980025,1.0056351526013956,1.1620824213839758,,1.0595267629760994,0.948899540104058,0.9323759596017039,0.9505635882922628,0.9987537789176183,0.9818552253974743,0.952659137235588,0.6733421973505481,0.5859919619323474,0.9644978120009807,0.04464284204750081,0.7328446642720401,0.7510739496944108,0.7714524449891591,results\0\splitwise_4_4\param_p128_o16_r20_10s\8_0\llama2-70b\mixed_pool_a100_bw50\summary.csv,0.04170585724911924,0.042800762099055305,0.0429602695826315,0.06534724007360637,0.06534724007360637,0.10999008212110718,128,20,ok,param_p128_o16_r20_10s
25.0,0.0970490789538116,0.11151559120046538,0.11403870568966651,0.0,0.04213469976171603,0.7723100637098792,0.8055483863132394,0.8115737384545875,results\0\baseline\param_p128_o16_r20_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04175789682049286,0.043591724107521775,0.04509511104600641,0.09704907895381165,0.11151559120046546,0.11403870568966655,16,0.1005750358703444,0.11775499381508883,0.13878233730785128,0.05474207915519283,1.0363316886109852,1.0559509441456238,1.2169757317793453,,1.0595267629760994,0.9573953617582466,0.9393168367789098,0.9582769503342992,1.0080687835312128,0.989857061928163,0.961316283458024,0.6733421973505481,0.5859919619323474,0.9644978120009807,0.04464284204750081,0.7394060728350542,0.7566651621041073,0.7777124070576682,results\0\splitwise_4_4\param_p128_o16_r20_10s\8_0\llama2-70b\mixed_pool_a100_bw25\summary.csv,0.04209483225065613,0.04314957594945458,0.043350664552873765,0.06534724007360637,0.06534724007360637,0.10999008212110718,128,20,ok,param_p128_o16_r20_10s
12.5,0.0970490789538116,0.11151559120046538,0.11403870568966651,0.0,0.04213469976171603,0.7723100637098792,0.8055483863132394,0.8115737384545875,results\0\baseline\param_p128_o16_r20_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04175789682049286,0.043591724107521775,0.04509511104600641,0.09704907895381165,0.11151559120046546,0.11403870568966655,16,0.1134238864137843,0.12756313717850348,0.1457949632292002,0.06707718268986404,1.1687270774384777,1.143904056870311,1.2784691157925974,,1.0595267629760994,0.9740459909458139,0.9514680131683706,0.9668962500762502,1.0278263924362514,1.0042529474753605,0.9784234011792303,0.6733421973505481,0.5859919619323474,0.9644978120009807,0.04464284204750081,0.7522655213237139,0.766453522636445,0.7847076043721041,results\0\splitwise_4_4\param_p128_o16_r20_10s\8_0\llama2-70b\mixed_pool_a100_bw12_5\summary.csv,0.04291986844473239,0.04377711742051147,0.044122111926188666,0.06534724007360637,0.06534724007360637,0.10999008212110718,128,20,ok,param_p128_o16_r20_10s
3.125,0.0970490789538116,0.11151559120046538,0.11403870568966651,0.0,0.04213469976171603,0.7723100637098792,0.8055483863132394,0.8115737384545875,results\0\baseline\param_p128_o16_r20_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04175789682049286,0.043591724107521775,0.04509511104600641,0.09704907895381165,0.11151559120046546,0.11403870568966655,16,0.19006946874224961,0.2062446784524194,0.2145449293582885,0.14233016074041682,1.958488125711209,1.84946944397815,1.8813343071617241,,1.0595267629760994,1.0733794567407342,1.0491084052277992,1.0515701219943705,1.141799725636659,1.1176077638301138,1.082703652865539,0.6733421973505481,0.5859919619323474,0.9644978120009807,0.04464284204750081,0.8289817566203119,0.8451075828989097,0.853426695154118,results\0\splitwise_4_4\param_p128_o16_r20_10s\8_0\llama2-70b\mixed_pool_a100_bw3_125\summary.csv,0.04767915513280266,0.04871844930130668,0.04882464145588825,0.06534724007360637,0.06534724007360637,0.10999008212110718,128,20,ok,param_p128_o16_r20_10s
50.0,0.09870646717690645,0.112523028361406,0.13813716843150078,0.0,0.06619464982585396,0.8663639460659224,0.9161748352853314,0.9412927429119579,results\0\baseline\param_p128_o16_r50_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04909847281895727,0.05094488426253404,0.05277996538227806,0.09870646717690645,0.11252302836140604,0.13813716843150078,16,0.10699257084921121,0.15751655054262517,0.1705443548445388,0.048368066168963476,1.083946917656915,1.399860569311263,1.2346014963315832,,0.9825641132732624,0.861131437138067,0.8696109724768672,0.8601865155772168,0.8489994072539148,0.8390696460883309,0.8140957932066738,0.662036054400447,1.09651057929194,0.9456635196021855,0.06504048740957431,0.7460532299603545,0.7967156894713107,0.809687324663558,results\0\splitwise_4_4\param_p128_o16_r50_10s\8_0\llama2-70b\mixed_pool_a100_bw50\summary.csv,0.041684574320367165,0.042746306008175416,0.04296794778330644,0.06534724007360637,0.12338269101224873,0.13063128088681294,128,50,ok,param_p128_o16_r50_10s
25.0,0.09870646717690645,0.112523028361406,0.13813716843150078,0.0,0.06619464982585396,0.8663639460659224,0.9161748352853314,0.9412927429119579,results\0\baseline\param_p128_o16_r50_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04909847281895727,0.05094488426253404,0.05277996538227806,0.09870646717690645,0.11252302836140604,0.13813716843150078,16,0.1141089161872294,0.16102618569297844,0.17591809712986284,0.05460720004813179,1.156042956969759,1.4310509416418127,1.2735029907399382,,0.9825641132732624,0.8694066762079571,0.8733705048312409,0.8659654044713146,0.8591817605074616,0.8464074651240588,0.8214687370207236,0.662036054400447,1.09651057929194,0.9456635196021855,0.06504048740957431,0.7532225987355834,0.8001600784068289,0.8151269508416668,results\0\splitwise_4_4\param_p128_o16_r50_10s\8_0\llama2-70b\mixed_pool_a100_bw25\summary.csv,0.042184512314819456,0.04312013034968999,0.04335709150257747,0.06534724007360637,0.12338269101224873,0.13063128088681294,128,50,ok,param_p128_o16_r50_10s
12.5,0.09870646717690645,0.112523028361406,0.13813716843150078,0.0,0.06619464982585396,0.8663639460659224,0.9161748352853314,0.9412927429119579,results\0\baseline\param_p128_o16_r50_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04909847281895727,0.05094488426253404,0.05277996538227806,0.09870646717690645,0.11252302836140604,0.13813716843150078,16,0.1228745836381898,0.16641594417722413,0.18439232334258707,0.06701222990034456,1.2448483584967953,1.4789501011537185,1.3348494502695936,,0.9825641132732624,0.8795095627127003,0.8793157451914491,0.8749371955819564,0.8711806718809574,0.8586569116774255,0.8361167003406674,0.662036054400447,1.09651057929194,0.9456635196021855,0.06504048740957431,0.7619753753544889,0.8056069580145743,0.8235720327050359,results\0\splitwise_4_4\param_p128_o16_r50_10s\8_0\llama2-70b\mixed_pool_a100_bw12_5\summary.csv,0.04277364053874812,0.043744176986631356,0.04413021049952499,0.06534724007360637,0.12338269101224873,0.13063128088681294,128,50,ok,param_p128_o16_r50_10s
3.125,0.09870646717690645,0.112523028361406,0.13813716843150078,0.0,0.06619464982585396,0.8663639460659224,0.9161748352853314,0.9412927429119579,results\0\baseline\param_p128_o16_r50_10s\8_0\llama2-70b\token_jsq\summary.csv,0.04909847281895727,0.05094488426253404,0.05277996538227806,0.09870646717690645,0.11252302836140604,0.13813716843150078,16,0.2007410639353434,0.24745277935450682,0.2613525395510444,0.14238305547141708,2.0337174419946127,2.199130106592297,1.8919784046438122,,0.9825641132732624,0.9694384333767504,0.9676701085050052,0.9567306511313209,0.9669409608396417,0.9536588824415712,0.9254459833072949,0.662036054400447,1.09651057929194,0.9456635196021855,0.06504048740957431,0.8398865066082473,0.886555002270112,0.9005636188313445,results\0\splitwise_4_4\param_p128_o16_r50_10s\8_0\llama2-70b\mixed_pool_a100_bw3_125\summary.csv,0.04747532448332157,0.0485840413919234,0.048845006962127305,0.06534724007360637,0.12338269101224873,0.13063128088681294,128,50,ok,param_p128_o16_r50_10s
50.0,0.11108702110882746,0.13962992999042656,0.14389284941523633,0.0,0.07177497644692171,1.0631909668222645,1.1231335154653102,1.1649297617197112,results\0\baseline\param_p128_o16_r100_10s\8_0\llama2-70b\token_jsq\summary.csv,0.05887559865566898,0.06235767270398469,0.06569206355043268,0.11108702110882751,0.1396299299904266,0.14389284941523633,16,0.14627111549570448,0.17040443985475448,0.19262448259436232,0.04844739878042348,1.3167255187481226,1.2204005249192484,1.3386661211948032,,1.0977086018096858,0.7390936289739524,0.7211965283444549,0.7144014788610985,0.7098028903523556,0.6860146869181022,0.6545582343697987,1.0654025627841217,1.0034691084931755,1.0996571269591695,0.07878800904047356,0.7857976699609925,0.8099999922208848,0.8322275445418688,results\0\splitwise_4_4\param_p128_o16_r100_10s\8_0\llama2-70b\mixed_pool_a100_bw50\summary.csv,0.0417900700970191,0.042778279316965546,0.04299928112967982,0.11835239698139866,0.14011432136645788,0.1582327973779272,128,100,ok,param_p128_o16_r100_10s
25.0,0.11108702110882746,0.13962992999042656,0.14389284941523633,0.0,0.07177497644692171,1.0631909668222645,1.1231335154653102,1.1649297617197112,results\0\baseline\param_p128_o16_r100_10s\8_0\llama2-70b\token_jsq\summary.csv,0.05887559865566898,0.06235767270398469,0.06569206355043268,0.11108702110882751,0.1396299299904266,0.14389284941523633,16,0.15046030041645586,0.17611117889392638,0.20028746039917203,0.05477940624647958,1.3544363591229618,1.2612709818446595,1.3919208717675464,,1.0977086018096858,0.7430173844445646,0.7262452081291535,0.7209502448656163,0.7141054700217778,0.6916260851658146,0.6605725069268935,1.0654025627841217,1.0034691084931755,1.0996571269591695,0.07878800904047356,0.7899693713333669,0.815670333695932,0.8398563969630698,results\0\splitwise_4_4\param_p128_o16_r100_10s\8_0\llama2-70b\mixed_pool_a100_bw25\summary.csv,0.042043387050820044,0.04312819305230811,0.043394371104710124,0.11835239698139866,0.14011432136645788,0.1582327973779272,128,100,ok,param_p128_o16_r100_10s
